Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_GBS,Chrome 101.0.4951.54,,,2022-05-17 16:38:38,2022-05-17 16:42:03,3m - 24.915s,PASSED
,,,,,,,
Test Cases/Sanity/GBS/Create AF Project,Chrome 101.0.4951.54,Create AF Project,,2022-05-17 16:38:38,2022-05-17 16:42:03,3m - 24.611s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-17 16:38:39,2022-05-17 16:38:42,2.887s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-17 16:38:42,2022-05-17 16:38:42,0.167s,PASSED
navigateToUrl(URL),Chrome 101.0.4951.54,,,2022-05-17 16:38:42,2022-05-17 16:38:45,3.572s,PASSED
"setText(findTestObject(""Page_Price It Right  Design It Right/Username""), username)",Chrome 101.0.4951.54,,,2022-05-17 16:38:45,2022-05-17 16:38:46,0.882s,PASSED
"setEncryptedText(findTestObject(""Page_Price It Right  Design It Right/Password""), pwd)",Chrome 101.0.4951.54,,,2022-05-17 16:38:46,2022-05-17 16:38:47,0.454s,PASSED
"click(findTestObject(""Object Repository/Page_Price It Right  Design It Right/button_Sign in""))",Chrome 101.0.4951.54,,,2022-05-17 16:38:47,2022-05-17 16:38:49,2.227s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform/span_Welcome_navbar-toggler-icon""))",Chrome 101.0.4951.54,,,2022-05-17 16:38:49,2022-05-17 16:38:49,0.394s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform/div_It-Right PlatformPIRNew Business Quotin_e8844a""), 0)",Chrome 101.0.4951.54,,,2022-05-17 16:38:49,2022-05-17 16:38:50,0.613s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform/span_GBS""))",Chrome 101.0.4951.54,,,2022-05-17 16:38:50,2022-05-17 16:38:55,4.570s,PASSED
delay(9),Chrome 101.0.4951.54,,,2022-05-17 16:38:55,2022-05-17 16:39:04,9.036s,PASSED
"click(findTestObject(""Page_DIR/button_Technical Sourcing""))",Chrome 101.0.4951.54,,,2022-05-17 16:39:04,2022-05-17 16:39:04,0.445s,PASSED
"click(findTestObject(""Page_Design It Right/span_Flex_Organization""))",Chrome 101.0.4951.54,,,2022-05-17 16:39:04,2022-05-17 16:39:05,0.546s,PASSED
"selectOptionByValue(findTestObject(""Page_Design It Right/select_Organization""), ""FLEX"", true)",Chrome 101.0.4951.54,,,2022-05-17 16:39:05,2022-05-17 16:39:09,4.296s,PASSED
delay(3),Chrome 101.0.4951.54,,,2022-05-17 16:39:09,2022-05-17 16:39:12,3.018s,PASSED
"verifyElementPresent(findTestObject(""Page_Design It Right/div_To Create Project   Drop GBS project""), 0)",Chrome 101.0.4951.54,,,2022-05-17 16:39:12,2022-05-17 16:39:12,0.363s,PASSED
"uploadFileWithDragAndDrop(findTestObject(""Page_Design It Right/div_To Create Project   Drop GBS project""), GBSAF_File)",Chrome 101.0.4951.54,,,2022-05-17 16:39:12,2022-05-17 16:39:13,0.461s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_Choose Analysis Type""), 3)",Chrome 101.0.4951.54,,,2022-05-17 16:39:13,2022-05-17 16:39:13,0.716s,PASSED
