Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_GBS,Chrome 101.0.4951.54,,,2022-05-18 12:18:38,2022-05-18 12:23:49,5m - 11.098s,PASSED
,,,,,,,
Test Cases/Sanity/GBS/AF_Review_Save,Chrome 101.0.4951.54,,,2022-05-18 12:18:38,2022-05-18 12:21:37,2m - 58.470s,PASSED
"openBrowser("""")",Chrome 101.0.4951.54,,,2022-05-18 12:18:39,2022-05-18 12:18:43,3.837s,PASSED
maximizeWindow(),Chrome 101.0.4951.54,,,2022-05-18 12:18:43,2022-05-18 12:18:43,0.232s,PASSED
navigateToUrl(URL),Chrome 101.0.4951.54,,,2022-05-18 12:18:43,2022-05-18 12:18:52,8.881s,PASSED
"setText(findTestObject(""Page_It-Right Platform/Username""), username)",Chrome 101.0.4951.54,,,2022-05-18 12:18:52,2022-05-18 12:18:54,1.975s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform/password""), pwd)",Chrome 101.0.4951.54,,,2022-05-18 12:18:54,2022-05-18 12:18:55,0.955s,PASSED
"click(findTestObject(""Page_It-Right Platform/button_Sign in""))",Chrome 101.0.4951.54,,,2022-05-18 12:18:55,2022-05-18 12:18:59,3.894s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform/span_WelcomeToggler""))",Chrome 101.0.4951.54,,,2022-05-18 12:18:59,2022-05-18 12:18:59,0.509s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform/div_WelcomeMenu""), 0)",Chrome 101.0.4951.54,,,2022-05-18 12:18:59,2022-05-18 12:19:00,0.702s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform/span_GBS""))",Chrome 101.0.4951.54,,,2022-05-18 12:19:00,2022-05-18 12:19:14,13.772s,PASSED
delay(2),Chrome 101.0.4951.54,,,2022-05-18 12:19:14,2022-05-18 12:19:16,2.139s,PASSED
"click(findTestObject(""Page_DIR/button_Technical Sourcing""))",Chrome 101.0.4951.54,,,2022-05-18 12:19:16,2022-05-18 12:19:19,2.870s,PASSED
"click(findTestObject(""Page_DIR/span_Flex_Organization""))",Chrome 101.0.4951.54,,,2022-05-18 12:19:19,2022-05-18 12:19:49,30.615s,PASSED
"selectOptionByValue(findTestObject(""Page_DIR/select_Organization""), ""FLEX"", true)",Chrome 101.0.4951.54,,,2022-05-18 12:19:49,2022-05-18 12:20:00,10.464s,PASSED
delay(2),Chrome 101.0.4951.54,,,2022-05-18 12:20:00,2022-05-18 12:20:02,2.013s,PASSED
"scrollToElement(findTestObject(""Page_DIR/i_Project-folder-open""), 2)",Chrome 101.0.4951.54,,,2022-05-18 12:20:02,2022-05-18 12:20:34,32.109s,PASSED
"click(findTestObject(""Page_DIR/i_Project-folder-open""))",Chrome 101.0.4951.54,,,2022-05-18 12:20:34,2022-05-18 12:21:06,32.100s,PASSED
delay(3),Chrome 101.0.4951.54,,,2022-05-18 12:21:06,2022-05-18 12:21:09,3.020s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/a_Back to Projects""), 2)",Chrome 101.0.4951.54,,,2022-05-18 12:21:09,2022-05-18 12:21:10,1.036s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/a_PIR-TEST-0005""), 2)",Chrome 101.0.4951.54,,,2022-05-18 12:21:10,2022-05-18 12:21:11,0.531s,PASSED
