Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_NBQ,Chrome 103.0.5060.114,,,2022-07-21 16:58:14,2022-07-21 17:06:47,8m - 32.314s,FAILED
,,,,,,,
Test Cases/Sanity/NBQ/Enter MPN,Chrome 103.0.5060.114,,,2022-07-21 16:58:15,2022-07-21 16:59:42,1m - 27.421s,FAILED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-21 16:58:16,2022-07-21 16:58:22,5.274s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-21 16:58:22,2022-07-21 16:58:22,0.256s,PASSED
navigateToUrl(URL),Chrome 103.0.5060.114,,,2022-07-21 16:58:22,2022-07-21 16:58:26,4.498s,PASSED
"setText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_username""), Username)",Chrome 103.0.5060.114,,,2022-07-21 16:58:26,2022-07-21 16:58:28,1.478s,PASSED
"setEncryptedText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_password""), Password)",Chrome 103.0.5060.114,,,2022-07-21 16:58:28,2022-07-21 16:58:29,1.005s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/button_Sign in""))",Chrome 103.0.5060.114,,,2022-07-21 16:58:29,2022-07-21 16:58:31,1.764s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/Three line icon""))",Chrome 103.0.5060.114,,,2022-07-21 16:58:31,2022-07-21 16:59:06,35.205s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/span_New Business Quoting""))",Chrome 103.0.5060.114,,,2022-07-21 16:59:06,2022-07-21 16:59:42,36.672s,FAILED
,,,,,,,
Test Cases/Sanity/NBQ/NBQ Manual Load,Chrome 103.0.5060.114,,,2022-07-21 16:59:42,2022-07-21 17:01:04,1m - 21.816s,FAILED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-21 16:59:43,2022-07-21 16:59:47,3.212s,PASSED
navigateToUrl(URL),Chrome 103.0.5060.114,,,2022-07-21 16:59:47,2022-07-21 16:59:49,2.722s,PASSED
"setText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_username""), Username)",Chrome 103.0.5060.114,,,2022-07-21 16:59:49,2022-07-21 16:59:51,1.166s,PASSED
"setEncryptedText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_password""), Password)",Chrome 103.0.5060.114,,,2022-07-21 16:59:51,2022-07-21 16:59:51,0.785s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/button_Sign in""))",Chrome 103.0.5060.114,,,2022-07-21 16:59:51,2022-07-21 16:59:54,2.505s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-21 16:59:54,2022-07-21 16:59:54,0.237s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/Three line icon""))",Chrome 103.0.5060.114,,,2022-07-21 16:59:54,2022-07-21 17:00:28,33.655s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/span_New Business Quoting""))",Chrome 103.0.5060.114,,,2022-07-21 17:00:28,2022-07-21 17:01:04,36.543s,FAILED
,,,,,,,
Test Cases/Sanity/NBQ/QW Restore project,Chrome 103.0.5060.114,,,2022-07-21 17:01:04,2022-07-21 17:02:41,1m - 37.144s,FAILED
