Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_GBS_SF_CIR,Chrome 103.0.5060.114,,,2022-07-21 17:40:28,2022-07-21 17:56:32,16m - 4.096s,FAILED
,,,,,,,
Test Cases/Sanity/GBS/Create AF Project,Chrome 103.0.5060.114,Create AF Project,,2022-07-21 17:40:29,2022-07-21 17:41:18,49.561s,FAILED
"openBrowser("""")",Chrome 103.0.5060.114,,,2022-07-21 17:40:30,2022-07-21 17:40:35,4.975s,PASSED
maximizeWindow(),Chrome 103.0.5060.114,,,2022-07-21 17:40:35,2022-07-21 17:40:35,0.257s,PASSED
navigateToUrl(URL),Chrome 103.0.5060.114,,,2022-07-21 17:40:35,2022-07-21 17:40:39,3.998s,PASSED
"setText(findTestObject(""Page_It-Right Platform_GBS/Username""), Username)",Chrome 103.0.5060.114,,,2022-07-21 17:40:39,2022-07-21 17:40:40,1.203s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform_GBS/password""), Password)",Chrome 103.0.5060.114,,,2022-07-21 17:40:40,2022-07-21 17:40:41,0.778s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/button_Sign in""))",Chrome 103.0.5060.114,,,2022-07-21 17:40:41,2022-07-21 17:40:45,3.532s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_WelcomeToggler""))",Chrome 103.0.5060.114,,,2022-07-21 17:40:45,2022-07-21 17:40:45,0.670s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform_GBS/div_WelcomeMenu""), 0)",Chrome 103.0.5060.114,,,2022-07-21 17:40:45,2022-07-21 17:40:46,0.635s,PASSED
"scrollToElement(findTestObject(""Page_It-Right Platform_GBS/span_GBS""), 0)",Chrome 103.0.5060.114,,,2022-07-21 17:40:46,2022-07-21 17:40:47,0.692s,PASSED
"waitForElementClickable(findTestObject(""Page_It-Right Platform_GBS/span_GBS""), 0)",Chrome 103.0.5060.114,,,2022-07-21 17:40:47,2022-07-21 17:40:47,0.877s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/span_GBS""))",Chrome 103.0.5060.114,,,2022-07-21 17:40:47,2022-07-21 17:40:54,6.569s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-21 17:40:54,2022-07-21 17:40:56,2.087s,PASSED
"click(findTestObject(""Page_DIR_GBS/GBS Project/button_Technical Sourcing""))",Chrome 103.0.5060.114,,,2022-07-21 17:40:56,2022-07-21 17:40:57,0.691s,PASSED
"click(findTestObject(""Page_DIR_GBS/GBS Project/span_Flex_Organization""))",Chrome 103.0.5060.114,,,2022-07-21 17:40:57,2022-07-21 17:40:57,0.636s,PASSED
"selectOptionByValue(findTestObject(""Page_DIR_GBS/GBS Project/select_Organization""), ""FLEX"", true)",Chrome 103.0.5060.114,,,2022-07-21 17:40:57,2022-07-21 17:41:10,12.329s,PASSED
delay(2),Chrome 103.0.5060.114,,,2022-07-21 17:41:10,2022-07-21 17:41:12,2.014s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR_GBS/GBS Project/div_To Create Project   Drop GBS project""), 0)",Chrome 103.0.5060.114,,,2022-07-21 17:41:12,2022-07-21 17:41:12,0.588s,PASSED
