Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_GBS,Chrome 101.0.4951.67,,,2022-05-24 13:04:31,2022-05-24 13:17:16,12m - 45.538s,PASSED
,,,,,,,
Test Cases/Sanity/GBS/Create AF Project,Chrome 101.0.4951.67,Create AF Project,,2022-05-24 13:04:31,2022-05-24 13:08:16,3m - 44.718s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-24 13:04:32,2022-05-24 13:04:37,5.070s,PASSED
maximizeWindow(),Chrome 101.0.4951.67,,,2022-05-24 13:04:37,2022-05-24 13:04:37,0.222s,PASSED
navigateToUrl(URL),Chrome 101.0.4951.67,,,2022-05-24 13:04:37,2022-05-24 13:04:43,5.433s,PASSED
"setText(findTestObject(""Page_It-Right Platform/Username""), username)",Chrome 101.0.4951.67,,,2022-05-24 13:04:43,2022-05-24 13:04:44,1.069s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform/password""), pwd)",Chrome 101.0.4951.67,,,2022-05-24 13:04:44,2022-05-24 13:04:45,0.650s,PASSED
"click(findTestObject(""Page_It-Right Platform/button_Sign in""))",Chrome 101.0.4951.67,,,2022-05-24 13:04:45,2022-05-24 13:04:49,4.707s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform/span_WelcomeToggler""))",Chrome 101.0.4951.67,,,2022-05-24 13:04:49,2022-05-24 13:04:50,0.484s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform/div_WelcomeMenu""), 0)",Chrome 101.0.4951.67,,,2022-05-24 13:04:50,2022-05-24 13:04:50,0.685s,PASSED
"click(findTestObject(""Page_It-Right Platform/span_GBS""))",Chrome 101.0.4951.67,,,2022-05-24 13:04:50,2022-05-24 13:04:58,7.478s,PASSED
delay(9),Chrome 101.0.4951.67,,,2022-05-24 13:04:58,2022-05-24 13:05:07,9.071s,PASSED
"click(findTestObject(""Page_DIR/button_Technical Sourcing""))",Chrome 101.0.4951.67,,,2022-05-24 13:05:07,2022-05-24 13:05:07,0.492s,PASSED
"click(findTestObject(""Page_DIR/span_Flex_Organization""))",Chrome 101.0.4951.67,,,2022-05-24 13:05:07,2022-05-24 13:05:08,0.598s,PASSED
"selectOptionByValue(findTestObject(""Page_DIR/select_Organization""), ""FLEX"", true)",Chrome 101.0.4951.67,,,2022-05-24 13:05:08,2022-05-24 13:05:18,10.379s,PASSED
delay(3),Chrome 101.0.4951.67,,,2022-05-24 13:05:18,2022-05-24 13:05:21,3.013s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_To Create Project   Drop GBS project""), 0)",Chrome 101.0.4951.67,,,2022-05-24 13:05:21,2022-05-24 13:05:22,0.380s,PASSED
"uploadFileWithDragAndDrop(findTestObject(""Page_DIR/div_To Create Project   Drop GBS project""), GBSAF_File)",Chrome 101.0.4951.67,,,2022-05-24 13:05:22,2022-05-24 13:05:22,0.522s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_Choose Analysis Type""), 3)",Chrome 101.0.4951.67,,,2022-05-24 13:05:22,2022-05-24 13:05:23,0.756s,PASSED
"click(findTestObject(""Page_DIR/button_OK""))",Chrome 101.0.4951.67,,,2022-05-24 13:05:23,2022-05-24 13:05:24,0.478s,PASSED
delay(3),Chrome 101.0.4951.67,,,2022-05-24 13:05:24,2022-05-24 13:05:27,3.019s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_Create Project""), 3)",Chrome 101.0.4951.67,,,2022-05-24 13:05:27,2022-05-24 13:05:29,1.891s,PASSED
"click(findTestObject(""Page_DIR/input__dueDate""))",Chrome 101.0.4951.67,,,2022-05-24 13:05:29,2022-05-24 13:05:29,0.461s,PASSED
delay(3),Chrome 101.0.4951.67,,,2022-05-24 13:05:29,2022-05-24 13:05:32,3.010s,PASSED
"click(findTestObject(""Page_DIR/span_Month""))",Chrome 101.0.4951.67,,,2022-05-24 13:05:32,2022-05-24 13:05:32,0.455s,PASSED
"scrollToElement(findTestObject(""Page_DIR/span_MonthDecember""), 2, STOP_ON_FAILURE)",Chrome 101.0.4951.67,,,2022-05-24 13:05:32,2022-05-24 13:05:33,0.475s,PASSED
"click(findTestObject(""Page_DIR/span_MonthDecember""))",Chrome 101.0.4951.67,,,2022-05-24 13:05:33,2022-05-24 13:05:33,0.448s,PASSED
delay(2),Chrome 101.0.4951.67,,,2022-05-24 13:05:33,2022-05-24 13:05:35,2.005s,PASSED
"click(findTestObject(""Page_DIR/span_Year""))",Chrome 101.0.4951.67,,,2022-05-24 13:05:35,2022-05-24 13:05:36,0.464s,PASSED
delay(2),Chrome 101.0.4951.67,,,2022-05-24 13:05:36,2022-05-24 13:05:38,2.016s,PASSED
"scrollToElement(findTestObject(""Page_DIR/span_Year2024""), 2)",Chrome 101.0.4951.67,,,2022-05-24 13:05:38,2022-05-24 13:05:38,0.410s,PASSED
"click(findTestObject(""Page_DIR/span_Year2024""))",Chrome 101.0.4951.67,,,2022-05-24 13:05:38,2022-05-24 13:05:39,0.453s,PASSED
delay(2),Chrome 101.0.4951.67,,,2022-05-24 13:05:39,2022-05-24 13:05:41,2.013s,PASSED
"click(findTestObject(""Page_DIR/div_Date31""))",Chrome 101.0.4951.67,,,2022-05-24 13:05:41,2022-05-24 13:05:41,0.478s,PASSED
delay(2),Chrome 101.0.4951.67,,,2022-05-24 13:05:41,2022-05-24 13:05:43,2.007s,PASSED
"setText(findTestObject(""Page_DIR/textarea_Comments_comments""), ""Test"")",Chrome 101.0.4951.67,,,2022-05-24 13:05:43,2022-05-24 13:06:46,1m - 3.112s,PASSED
"scrollToElement(findTestObject(""Page_DIR/button_Create""), 2)",Chrome 101.0.4951.67,,,2022-05-24 13:06:46,2022-05-24 13:07:18,31.678s,PASSED
"click(findTestObject(""Page_DIR/button_Create""))",Chrome 101.0.4951.67,,,2022-05-24 13:07:18,2022-05-24 13:07:50,31.650s,PASSED
delay(7),Chrome 101.0.4951.67,,,2022-05-24 13:07:50,2022-05-24 13:07:57,7.008s,PASSED
"waitForElementPresent(findTestObject(""Page_DIR/div_Project success msg""), 3)",Chrome 101.0.4951.67,,,2022-05-24 13:07:57,2022-05-24 13:08:03,5.907s,PASSED
delay(3),Chrome 101.0.4951.67,,,2022-05-24 13:08:03,2022-05-24 13:08:06,3.011s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_Project success msg""), 3)",Chrome 101.0.4951.67,,,2022-05-24 13:08:06,2022-05-24 13:08:11,5.146s,PASSED
delay(2),Chrome 101.0.4951.67,,,2022-05-24 13:08:11,2022-05-24 13:08:13,2.005s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/td_FileName_Dummy""), 2)",Chrome 101.0.4951.67,,,2022-05-24 13:08:13,2022-05-24 13:08:13,0.422s,PASSED
"verifyElementAttributeValue(findTestObject(""Page_DIR/td_FileName_Dummy""), ""text"", GBSAF_FileName, 3)",Chrome 101.0.4951.67,,,2022-05-24 13:08:13,2022-05-24 13:08:14,0.428s,PASSED
"click(findTestObject(""Page_DIR/span_Welcome Thangasumathy Jayakumar""))",Chrome 101.0.4951.67,,,2022-05-24 13:08:14,2022-05-24 13:08:14,0.410s,PASSED
"click(findTestObject(""Page_DIR/a_Logout""))",Chrome 101.0.4951.67,,,2022-05-24 13:08:14,2022-05-24 13:08:16,1.921s,PASSED
,,,,,,,
Test Cases/Sanity/GBS/AF_Review_Save,Chrome 101.0.4951.67,,,2022-05-24 13:08:16,2022-05-24 13:11:29,3m - 12.782s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-24 13:08:16,2022-05-24 13:08:19,2.643s,PASSED
maximizeWindow(),Chrome 101.0.4951.67,,,2022-05-24 13:08:19,2022-05-24 13:08:19,0.210s,PASSED
navigateToUrl(URL),Chrome 101.0.4951.67,,,2022-05-24 13:08:19,2022-05-24 13:08:40,20.380s,PASSED
"setText(findTestObject(""Page_It-Right Platform/Username""), username)",Chrome 101.0.4951.67,,,2022-05-24 13:08:40,2022-05-24 13:08:40,0.815s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform/password""), pwd)",Chrome 101.0.4951.67,,,2022-05-24 13:08:40,2022-05-24 13:08:41,0.509s,PASSED
"click(findTestObject(""Page_It-Right Platform/button_Sign in""))",Chrome 101.0.4951.67,,,2022-05-24 13:08:41,2022-05-24 13:09:00,19.318s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform/span_WelcomeToggler""))",Chrome 101.0.4951.67,,,2022-05-24 13:09:00,2022-05-24 13:09:01,0.434s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform/div_WelcomeMenu""), 0)",Chrome 101.0.4951.67,,,2022-05-24 13:09:01,2022-05-24 13:09:01,0.663s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform/span_GBS""))",Chrome 101.0.4951.67,,,2022-05-24 13:09:01,2022-05-24 13:09:40,38.591s,PASSED
delay(2),Chrome 101.0.4951.67,,,2022-05-24 13:09:40,2022-05-24 13:09:42,2.015s,PASSED
