Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_NBQ,Chrome 102.0.5005.115,,,2022-06-27 11:14:59,2022-06-27 11:21:31,6m - 31.751s,FAILED
,,,,,,,
Test Cases/All Test Cases/NBQ/Enter MPN,Chrome 102.0.5005.115,,,2022-06-27 11:14:59,2022-06-27 11:16:01,1m - 1.443s,PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-27 11:15:01,2022-06-27 11:15:06,4.905s,PASSED
maximizeWindow(),Chrome 102.0.5005.115,,,2022-06-27 11:15:06,2022-06-27 11:15:06,0.235s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.115,,,2022-06-27 11:15:06,2022-06-27 11:15:09,2.924s,PASSED
"setText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_username""), Username)",Chrome 102.0.5005.115,,,2022-06-27 11:15:09,2022-06-27 11:15:11,1.419s,PASSED
"setEncryptedText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_password""), Password)",Chrome 102.0.5005.115,,,2022-06-27 11:15:11,2022-06-27 11:15:11,0.943s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/button_Sign in""))",Chrome 102.0.5005.115,,,2022-06-27 11:15:11,2022-06-27 11:15:15,3.628s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/Three line icon""))",Chrome 102.0.5005.115,,,2022-06-27 11:15:15,2022-06-27 11:15:16,0.803s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/span_New Business Quoting""))",Chrome 102.0.5005.115,,,2022-06-27 11:15:16,2022-06-27 11:15:22,5.871s,PASSED
"click(findTestObject(""Object Repository/Page_Price It Right/button_Enter MPNs""))",Chrome 102.0.5005.115,,,2022-06-27 11:15:22,2022-06-27 11:15:24,1.766s,PASSED
"selectOptionByValue(findTestObject(""Object Repository/Page_Price It Right/select_Select typeNew project quote  pre qu_b32c8e""), ""TEST_OR_TRAINING"", true)",Chrome 102.0.5005.115,,,2022-06-27 11:15:24,2022-06-27 11:15:26,2.162s,PASSED
