Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_NBQ,Chrome 102.0.5005.62,,,2022-06-21 15:25:42,2022-06-21 15:29:18,3m - 36.151s,FAILED
,,,,,,,
Test Cases/All Test Cases/NBQ/Enter MPN,Chrome 102.0.5005.62,,,2022-06-21 15:25:43,2022-06-21 15:26:04,21.239s,FAILED
"openBrowser("""")",Chrome 102.0.5005.62,,,2022-06-21 15:25:43,2022-06-21 15:25:48,4.468s,PASSED
maximizeWindow(),Chrome 102.0.5005.62,,,2022-06-21 15:25:48,2022-06-21 15:25:48,0.242s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.62,,,2022-06-21 15:25:48,2022-06-21 15:25:54,5.575s,PASSED
"setText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_username""), Username)",Chrome 102.0.5005.62,,,2022-06-21 15:25:54,2022-06-21 15:25:56,2.223s,PASSED
"setEncryptedText(findTestObject(""Page_LoginPage_It-Right/input_Sign in_password""), Password)",Chrome 102.0.5005.62,,,2022-06-21 15:25:56,2022-06-21 15:25:57,1.073s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/button_Sign in""))",Chrome 102.0.5005.62,,,2022-06-21 15:25:57,2022-06-21 15:26:02,5.480s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/Three line icon""))",Chrome 102.0.5005.62,,,2022-06-21 15:26:02,2022-06-21 15:26:03,0.541s,PASSED
"click(findTestObject(""Page_LoginPage_It-Right/span_New Business Quoting""))",Chrome 102.0.5005.62,,,2022-06-21 15:26:03,2022-06-21 15:26:04,0.914s,FAILED
,,,,,,,
Test Cases/All Test Cases/NBQ/NBQ Manual Load,Chrome 102.0.5005.62,,,2022-06-21 15:26:04,2022-06-21 15:26:39,35.038s,FAILED
"openBrowser("""")",Chrome 102.0.5005.62,,,2022-06-21 15:26:05,2022-06-21 15:26:08,2.831s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.62,,,2022-06-21 15:26:08,2022-06-21 15:26:13,4.893s,PASSED
