Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_GBS,Chrome 102.0.5005.115,,,2022-06-14 17:15:12,2022-06-14 17:23:27,8m - 14.941s,PASSED
,,,,,,,
Test Cases/Sanity/GBS/Create AF Project,Chrome 102.0.5005.115,Create AF Project,,2022-06-14 17:15:12,2022-06-14 17:18:27,3m - 15.434s,PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-14 17:15:13,2022-06-14 17:15:16,3.141s,PASSED
maximizeWindow(),Chrome 102.0.5005.115,,,2022-06-14 17:15:16,2022-06-14 17:15:16,0.167s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.115,,,2022-06-14 17:15:16,2022-06-14 17:15:19,3.244s,PASSED
"setText(findTestObject(""Page_It-Right Platform_GBS/Username""), username)",Chrome 102.0.5005.115,,,2022-06-14 17:15:19,2022-06-14 17:15:20,0.812s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform_GBS/password""), pwd)",Chrome 102.0.5005.115,,,2022-06-14 17:15:20,2022-06-14 17:15:20,0.460s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/button_Sign in""))",Chrome 102.0.5005.115,,,2022-06-14 17:15:20,2022-06-14 17:15:23,2.408s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_WelcomeToggler""))",Chrome 102.0.5005.115,,,2022-06-14 17:15:23,2022-06-14 17:15:23,0.421s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform_GBS/div_WelcomeMenu""), 0)",Chrome 102.0.5005.115,,,2022-06-14 17:15:23,2022-06-14 17:15:24,0.624s,PASSED
"scrollToElement(findTestObject(""Page_It-Right Platform_GBS/span_GBS""), 0)",Chrome 102.0.5005.115,,,2022-06-14 17:15:24,2022-06-14 17:15:24,0.363s,PASSED
"waitForElementClickable(findTestObject(""Page_It-Right Platform_GBS/span_GBS""), 0)",Chrome 102.0.5005.115,,,2022-06-14 17:15:24,2022-06-14 17:15:25,0.552s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/span_GBS""))",Chrome 102.0.5005.115,,,2022-06-14 17:15:25,2022-06-14 17:15:32,7.008s,PASSED
delay(2),Chrome 102.0.5005.115,,,2022-06-14 17:15:32,2022-06-14 17:15:34,2.042s,PASSED
