Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_GBS,Chrome 102.0.5005.115,,,2022-06-14 16:15:46,2022-06-14 16:41:06,25m - 20.567s,PASSED
,,,,,,,
Test Cases/Sanity/GBS/Create AF Project,Chrome 102.0.5005.115,Create AF Project,,2022-06-14 16:15:46,2022-06-14 16:35:43,19m - 56.884s,PASSED
"openBrowser("""")",Chrome 102.0.5005.115,,,2022-06-14 16:15:47,2022-06-14 16:15:52,4.253s,PASSED
maximizeWindow(),Chrome 102.0.5005.115,,,2022-06-14 16:15:52,2022-06-14 16:15:52,0.230s,PASSED
navigateToUrl(URL),Chrome 102.0.5005.115,,,2022-06-14 16:15:52,2022-06-14 16:15:56,4.440s,PASSED
"setText(findTestObject(""Page_It-Right Platform_GBS/Username""), username)",Chrome 102.0.5005.115,,,2022-06-14 16:15:56,2022-06-14 16:15:58,1.483s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform_GBS/password""), pwd)",Chrome 102.0.5005.115,,,2022-06-14 16:15:58,2022-06-14 16:15:58,0.788s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/button_Sign in""))",Chrome 102.0.5005.115,,,2022-06-14 16:15:58,2022-06-14 16:16:01,2.583s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform_GBS/span_WelcomeToggler""))",Chrome 102.0.5005.115,,,2022-06-14 16:16:01,2022-06-14 16:16:02,0.682s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform_GBS/div_WelcomeMenu""), 0)",Chrome 102.0.5005.115,,,2022-06-14 16:16:02,2022-06-14 16:16:02,0.629s,PASSED
"scrollToElement(findTestObject(""Page_It-Right Platform_GBS/span_GBS""), 0)",Chrome 102.0.5005.115,,,2022-06-14 16:16:02,2022-06-14 16:16:03,0.544s,PASSED
"waitForElementClickable(findTestObject(""Page_It-Right Platform_GBS/span_GBS""), 0)",Chrome 102.0.5005.115,,,2022-06-14 16:16:03,2022-06-14 16:16:04,0.898s,PASSED
"click(findTestObject(""Page_It-Right Platform_GBS/span_GBS""))",Chrome 102.0.5005.115,,,2022-06-14 16:16:04,2022-06-14 16:16:10,5.913s,PASSED
