Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Sanity_GBS,Chrome 101.0.4951.67,,,2022-05-19 15:35:55,2022-05-19 15:37:04,1m - 8.922s,FAILED
,,,,,,,
Test Cases/Sanity/GBS Request/Create AF Request,Chrome 101.0.4951.67,Create AF Request,,2022-05-19 15:35:56,2022-05-19 15:37:04,1m - 8.224s,FAILED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-19 15:35:57,2022-05-19 15:36:02,5.121s,PASSED
maximizeWindow(),Chrome 101.0.4951.67,,,2022-05-19 15:36:02,2022-05-19 15:36:02,0.292s,PASSED
navigateToUrl(URL),Chrome 101.0.4951.67,,,2022-05-19 15:36:02,2022-05-19 15:36:06,3.972s,PASSED
"setText(findTestObject(""Page_It-Right Platform/Username""), username)",Chrome 101.0.4951.67,,,2022-05-19 15:36:06,2022-05-19 15:36:08,1.381s,PASSED
"setEncryptedText(findTestObject(""Page_It-Right Platform/password""), pwd)",Chrome 101.0.4951.67,,,2022-05-19 15:36:08,2022-05-19 15:36:08,0.726s,PASSED
"click(findTestObject(""Page_It-Right Platform/button_Sign in""))",Chrome 101.0.4951.67,,,2022-05-19 15:36:08,2022-05-19 15:36:12,3.580s,PASSED
"click(findTestObject(""Object Repository/Page_It-Right Platform/span_WelcomeToggler""))",Chrome 101.0.4951.67,,,2022-05-19 15:36:12,2022-05-19 15:36:13,0.523s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_It-Right Platform/div_WelcomeMenu""), 0)",Chrome 101.0.4951.67,,,2022-05-19 15:36:13,2022-05-19 15:36:13,0.686s,PASSED
"click(findTestObject(""Object Repository/Page_DIR/span_GBS Project Request""))",Chrome 101.0.4951.67,,,2022-05-19 15:36:13,2022-05-19 15:36:17,4.153s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_To Create Request""), 2)",Chrome 101.0.4951.67,,,2022-05-19 15:36:17,2022-05-19 15:36:20,2.537s,PASSED
"uploadFileWithDragAndDrop(findTestObject(""Page_DIR/div_To Create Request""), REQAF_File)",Chrome 101.0.4951.67,,,2022-05-19 15:36:20,2022-05-19 15:36:21,0.659s,PASSED
delay(2),Chrome 101.0.4951.67,,,2022-05-19 15:36:21,2022-05-19 15:36:23,2.186s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_Choose Analysis Type""), 2)",Chrome 101.0.4951.67,,,2022-05-19 15:36:23,2022-05-19 15:36:23,0.667s,PASSED
"click(findTestObject(""Object Repository/Page_DIR/button_OK""))",Chrome 101.0.4951.67,,,2022-05-19 15:36:23,2022-05-19 15:36:55,32.040s,PASSED
"verifyElementPresent(findTestObject(""Page_DIR/div_Project Request Details""), 2)",Chrome 101.0.4951.67,,,2022-05-19 15:36:55,2022-05-19 15:37:03,7.420s,PASSED
"click(findTestObject(""Page_DIR/button_Please select site""))",Chrome 101.0.4951.67,,,2022-05-19 15:37:03,2022-05-19 15:37:04,1.054s,FAILED
